primaryName,knownForTitles,averageRating
Justus Addiss,"From Here to Eternity, Voyage to the Bottom of the Sea, The Twilight Zone, The Wild Wild West, ",5.1
Gilbert Adler,"Superman Returns, Tales from the Crypt, House on Haunted Hill, Constantine, ",5.4
James Algar,"Jungle Cat, The Vanishing Prairie, White Wilderness, The Living Desert, ",7.516666667
Lewis Allen,"The Unseen, Chicago Deadline, The 20th Century-Fox Hour, Mission: Impossible, ",6
Roger Allers,"Aladdin, The Lion King, Beauty and the Beast, TRON, ",8.5
Kevin Altieri,"Batman: The Animated Series, 9, Batman: Mask of the Phantasm, ",7.8
Michael Davis,"Crash of Silence, An Enemy of the State, Doctor Who, Germinal, ",6.3
Joe Alves,"Close Encounters of the Third Kind, Jaws 2, Escape from New York, Jaws 3-D, ",3.7
Charles Band,"Trancers, Puppetmaster, Meridian, Doctor Mordrid, ",3.8
Giuseppe Amato,"MalÃ¬a, La Dolce Vita, Rose scarlatte, Bicycle Thieves, ",6.6
Alejandro AmenÃ¡bar,"The Others, Open Your Eyes, Thesis, The Sea Inside, ",7.4
Allison Anders,"Gas Food Lodging, Four Rooms, Sugar Town, Things Behind the Sun, ",6.733333333
Michael Anderson,"Taken for a Ride, Bill's Gun Shop, ",6.171428571
Paul W.S. Anderson,"Event Horizon, Resident Evil: Apocalypse, Mortal Kombat, ",6.38
Wes Anderson,"Fantastic Mr. Fox, The Royal Tenenbaums, ",7
Allan Arkush,"Crossing Jordan, The Temptations, Heroes, ",6.8
Montxo ArmendÃ¡riz,"Secrets of the Heart, Broken Silence, Obaba, Las cartas de Alou, ",6.1
Samuel Armstrong,"Beyond Desire, ",7.545454545
Newt Arnold,"The Abyss, Bloodsport, Blade Runner, The Godfather: Part II, ",6.8
Ovidio G. Assonitis,"Piranha II: The Spawning, Beyond the Door, Choke Canyon, Tentacles, ",3.7
Thomas K. Avildsen,"Things Are Tough All Over, Cheech & Chong's The Corsican Brothers, Cheech and Chong's Next Movie, The Deer Hunter, ",6
Lloyd Bacon,"Wonder Bar, Action in the North Atlantic, Stark Mad, Marked Woman, ",7.4
Max Baer Jr.,"The Beverly Hillbillies, Ode to Billy Joe, Macon County Line, The Wild McCullochs, ",6.6
Graham Baker,"Game of Thrones, ",5.6
Carroll Ballard,"Harvest, Fly Away Home, Star Wars: Episode IV - A New Hope, The Black Stallion, ",6.9
Tony Bancroft,"Stuart Little 2, The Lion King, Mulan, Aladdin, ",7.6
Sooraj R. Barjatya,"Vivah, Hum Aapke Hain Koun...!, ",7.5
Richard Baskin,"Welcome to L.A., Nashville, Sing, ",7
Lawrence Bassoff,"Hunk, Weekend Pass, ",4.3
Craig R. Baxley,"Action Jackson, Stone Cold, Dark Angel, Predator, ",5.925
David Beaird,"My Chauffeur, Key West, The Party Animal, The Civilization of Maxwell Bright, ",6.2
William Beaudine,"Spotlight Scandals, Follow the Leader, The Ape Man, Duke of the Navy, ",7.3
Harry Beaumont,"June Madness, Brown of Harvard, The Broadway Melody, The Little Rowdy, ",5.7
Josh Becker,"Alien Apocalypse, Thou Shalt Not Kill... Except, Lunatics: A Love Story, Running Time, ",7
Greg Beeman,"Smallville, Heroes, ",6.3
Andrew Behar,"Tie-died: Rock 'n Roll's Most Deadicated Fans, Intimate Betrayal, TV-Dad, Painting the Town, ",6.3
Donald P. Bellisario,"NCIS, Battlestar Galactica, Magnum, P.I., Quantum Leap, ",5.1
Marco Bellocchio,"Good Morning, Night, My Mother's Smile, The Wedding Director, Fists in the Pocket, ",5.8
Jack Bender,"Alias, Lost, Game of Thrones, Child's Play 3, ",5.1
Ted Berman,"The Fox and the Hound, The Black Cauldron, Bedknobs and Broomsticks, The Rescuers, ",6.85
Curtis Bernhardt,"Le tunnel, Possessed, The Beloved Vagabond, Kisses for My President, ",7.2
Walter Bernstein,"Yanks, Annie Hall, Semi-Tough, The Front, ",6.4
James Beshears,"Lock Up, Murder at 1600, True Lies, The Fugitive, ",3.3
Jonathan R. Betuel,"Theodore Rex, CBS Summer Playhouse, My Science Project, The Last Starfighter, ",6.1
Robert Bierman,"Apology, The Rocking Horse Winner, Clarissa, Vampire's Kiss, ",6
Tony Bill,"Five Corners, Soldier in the Rain, The Sting, Flyboys, ",6.95
Patricia Birch,"Grease, Big, The Stepford Wives, Grease 2, ",4.4
William Peter Blatty,"The Exorcist III, The Exorcist, The Ninth Configuration, Exorcist: The Beginning, ",6.3
Jeff Bleckner,"Hill Street Blues, American Playhouse, The Beach Boys: An American Family, Mancuso, FBI, ",6.2
Albert Pyun,"Radioactive Dreams, Cyborg, The Sword and the Sorcerer, ",5.183333333
Chris Blum,"Billy Joel: Greatest Hits Volume III, Big Time, ",8.3
Don Bluth,"All Dogs Go to Heaven, Titan A.E., Anastasia, The Secret of NIMH, ",6.661111111
David Blyth,"My Grandpa Is a Vampire, Red Blooded American Girl, Angel Mine, ",5
Jeff Blyth,"Cheetah, Wonders of China, The Secret World of Alex Mack, The Timekeeper, ",6
Paul Bogart,"The Golden Girls, Torch Song Trilogy, All in the Family, CBS Playhouse, ",7.7
Richard Boleslawski,"The Painted Veil, Theodora Goes Wild, Three Godfathers, Metropolitan, ",6.6
Ben Bolt,"Hercules and the Amazon Women, Hercules: The Legendary Journeys - Hercules and the Lost Kingdom, ",5.9
Sergey Bondarchuk,"War and Peace, Part I: Andrei Bolkonsky, Taras Shevchenko, Boris Godunov, War and Peace, ",7.3
Peter Bonerz,"Police Academy 6: City Under Siege, Fuzz, The Bob Newhart Show, Murphy Brown, ",4.4
Robert Boris,"Dawson's Creek, Boiler Room, Rocketboy, It All Came True, ",4.8
Ole Bornedal,"Nightwatch, The Substitute, Nightwatch, ",6.2
Phillip Borsos,"Bethune: The Making of a Hero, The Grey Fox, Nails, The Mean Season, ",6.1
Frank Borzage,"7th Heaven, No Greater Glory, Bad Girl, Lazybones, ",6.5
John Boskovich,"The A-List, Inside Monkey Zetterland, Without You I'm Nothing, ",6.7
George Bowers,"Sleeping with the Enemy, The Good Son, From Hell, Money Train, ",5.25
Rob Bowman,"Alligator II: The Mutation, Blind Fury, Peacemaker, ",6.9125
Steve Boyum,"You, Me and Dupree, Predator, Apocalypse Now, True Lies, ",4
Charles Brabin,"Sporting Blood, While New York Sleeps, Thou Shalt Not, Breakers Ahead, ",7.8
Reb Braddock,"Lethal Justice, Curdled, Curdled, Hidden Fears, ",5.9
Marco Brambilla,"Demolition Man, Excess Baggage, Destricted, Dinotopia, ",6.7
Ash Brannon,"Surf's Up, Toy Story, Toy Story 2, ",7.9
Herbert Brenon,"The Clown's Triumph, Sorrell and Son, Ivanhoe, Beau Geste, ",7.1
Marshall Brickman,"The Manhattan Project, Sleeper, Annie Hall, Manhattan, ",6.2
James Bridges,"The Alfred Hitchcock Hour, The Paper Chase, The China Syndrome, Perfect, ",7.255
Steven Brill,"The Mighty Ducks, Little Nicky, Heavyweights, ",6.6
GaÃ«tan Brizzi,"Tarzan, The Hunchback of Notre Dame, 9, Fantasia 2000, ",7.2
Paul Brizzi,"9, Tarzan, Fantasia 2000, The Hunchback of Notre Dame, ",7.2
Richard Brooks,"Hearts in Dixie, ",7.15
Otto Brower,"Clearing the Range, The Phantom Empire, Speed Wings, Speed to Burn, ",6.8
Clarence Brown,,6.8
Tod Browning,"Outside the Law, Freaks, The Unknown, Dracula, ",7.3
John Bruno,"Cliffhanger, X-Men: The Last Stand, The Abyss, True Lies, ",5
Chris Buck,"Trust, ",7.3
John Carl Buechler,"Curse of the Forty-Niner, Hatchet, Friday the 13th Part VII: The New Blood, Deep Freeze, ",5.2
Charles Burnett,"My Brother's Wedding, Killer of Sheep, To Sleep with Anger, The Annihilation of Fish, ",7.3
Jeff Burr,"Divided We Fall, Straight Into Darkness, Mil Mascaras vs. the Aztec Mummy, Broke Sky, ",5.35
Geoff Burrowes,"Return to Snowy River, Anzacs, Running from the Guns, Run, ",6.2
Robert Butler,"Gray's Anatomy, ",4.9
Hendel Butoy,"The Black Cauldron, The Fox and the Hound, The Great Mouse Detective, The Rescuers Down Under, ",7.14
Christy Cabanne,"Fighting Through, Storm Over the Andes, The Man Who Walked Alone, The Great Secret, ",7.8
Christopher Cain,"The Force on Thunder Mountain, ",5.233333333
Ken Cameron,"Temperament Unsuited, The Good Wife, Fast Talking, Monkey Grip, ",5.8
Martin Campbell,"The Mask of Zorro, Vertical Limit, GoldenEye, Casino Royale, ",6.95
Danny Cannon,"Judge Dredd, CSI: Crime Scene Investigation, ",5.6
Cathy Caplan,"American Dream, ",7.9
Topper Carew,"Talkin' Dirty After Dark, Martin, D.C. Cab, ",5.1
Glenn Gordon Caron,"Moonlighting, Remington Steele, Now and Again, Medium, ",6.1
Michael Carreras,"Prehistoric Women, The Lost Continent, Creatures the World Forgot, What a Crazy World, ",4.8
David Carson,"Nandi, ",6.6
Thomas Carter,"Coach Carter, Save the Last Dance, Equal Justice, ",6.15
Steve Carver,,5.766666667
Ron Casden,"Campus Man, ",4.8
Nick Castle,"The Andy Williams Show, Hold That Ghost, Battle of Broadway, In the Navy, ",6.325
William Castle,"Homicidal, House on Haunted Hill, Bug, Rosemary's Baby, ",5.8
Manuel CaÃ±o,"A mÃ­ quÃ© me importa que explote Miami, Wire Dog, Siempre en mi recuerdo, SonrÃ­a, por favor, ",2.7
Brenda Chapman,"The Prince of Egypt, Beauty and the Beast, The Lion King, ",7.1
Michael Chapman,,5.9
Joe Chappelle,"Halloween 6: The Curse of Michael Myers, The Wire, Thieves Quartet, ",5.033333333
Jeremiah S. Chechik,"Gossip Girl, National Lampoon's Christmas Vacation, Benny & Joon, ",6.76
Douglas Cheek,"Vegetable Soup, C.H.U.D., American Playhouse, ",5.6
John R. Cherry III,"Dr. Otto and the Riddle of the Gloom Beam, Ernest in the Army, Ernest Goes to Camp, Ernest Goes to Africa, ",5.55
Lionel Chetwynd,"Joseph, The Apprenticeship of Duddy Kravitz, Varian's War: The Forgotten Hero, Ike: Countdown to D-Day, ",6.2
Marvin J. Chomsky,"Holocaust, Anastasia: The Mystery of Anna, Billionaire Boys Club, Peter the Great, ",5.8
Aditya Chopra,"Dilwale Dulhania Le Jayenge, Mohabbatein, Veer-Zaara, ",8.1
Mark Christopher,"54, Alkali, Iowa, Pizza, ",6.133333333
Byron Chudnow,"The Wild Wild West, Mr. Terrific, The Doberman Gang, Sledge Hammer!, ",6
Bob Clark,"The Grand Duel, ",5.275
Larry Clark,"Cutting Horse, Passing Through, Wattstax, ",7.1
Ron Clements,"The Princess and the Frog, Aladdin, Hercules, ",7.483333333
Graeme Clifford,"Frances, Burke & Wills, The Rocky Horror Picture Show, Don't Look Now, ",6.666666667
Robert Clouse,"Enter the Dragon, The Ultimate Warrior, Game of Death, Dragon: The Bruce Lee Story, ",6.6
Henri-Georges Clouzot,"The Wages of Fear, Manon, Quai des OrfÃ¨vres, Diabolique, ",7.7
RenÃ© ClÃ©ment,"The Battle of the Rails, Forbidden Games, Purple Noon, Lovers, Happy Lovers!, ",8.1
Larry Cohen,"Inside Out III, ",5.34
J.J. Cohn,"Ben-Hur, Ben-Hur: The Making of an Epic, An American in Paris, Ben-Hur: A Tale of the Christ, ",7.8
Harley Cokeliss,"The Glitterball, Black Moon Rising, Dream Demon, Star Wars: Episode V - The Empire Strikes Back, ",5.3
Fabrizio De Angelis,"The Manhunt, Thunder, Killer Crocodile, ",4.5
Bill Condon,"Gods and Monsters, Kinsey, Chicago, Dreamgirls, ",6.16
Nicole Conn,"Little Man, ",5
David Worth,,6.4
Jack Conway,"The Girl from Missouri, Viva Villa!, The Roughneck, The Smart Set, ",7.1
James L. Conway,"Knockout, Sky Captain and the World of Tomorrow, Out in Fifty, Going Greek, ",5.3
Barry Cook,"Aladdin, Beauty and the Beast, Mulan, ",7.6
Tony Cookson,"Love Happens, Ringers, And You Thought Your Parents Were Weird, ",4.6
Merian C. Cooper,"Mighty Joe Young, King Kong, King Kong, The Searchers, ",7.9
Christopher Coppola,"Palmer's Pick-Up, Dracula's Widow, Deadfall, ",4
Frank Coraci,"The Waterboy, The Wedding Singer, Around the World in 80 Days, Click, ",6.45
Sergio Corbucci,"Django, The Great Silence, Super Fuzz, Days of Inspector Ambrosio, ",7.3
John Cornell,"Almost an Angel, Crocodile Dundee, Crocodile Dundee II, The Paul Hogan Show, ",5.6
Stephen Cornwell,"The Sasquatch Hunters, ",4.5
Rich Correll,"Ski Patrol, ",5.3
Don Coscarelli,"Bubba Ho-Tep, Phantasm, The Beastmaster, ",6.575
George P. Cosmatos,"Cobra, Massacre in Rome, Tombstone, Rambo: First Blood Part II, ",6.0875
Manny Coto,"Dr. Giggles, Dexter, 24, ",5.25
William Cottrell,"The Man on the Eiffel Tower, Julius Caesar, Twelfth Night, Naked City, ",7.6
Charles Crichton,"Dead of Night, The Stranger in Between, The Lavender Hill Mob, A Fish Called Wanda, ",7.65
Christopher Crowe,"The Untouchables, The Last of the Mohicans, Seven Days, Fear, ",6.2
Alfonso CuarÃ³n,"Y Tu MamÃ¡ TambiÃ©n, Children of Men, ",6.9
Rusty Cundieff,"Chappelle's Show, Fear of a Black Hat, Tales from the Hood, ",6.3
Sean S. Cunningham,"Friday the 13th, Freddy vs. Jason, Friday the 13th, Jason X, ",5.78
Vondie Curtis-Hall,"Broken Arrow, Romeo + Juliet, Falling Down, Chicago Hope, ",2.2
Morton DaCosta,"Island of Love, The Music Man, Auntie Mame, ",7.766666667
Robert Dalva,"Captain America: The First Avenger, Jurassic Park III, Star Wars: Episode IV - A New Hope, ",6
Damiano Damiani,"Confessions of a Police Captain, The Warning, Mafia, The Reunion, ",5.5
Mel Damski,"Still Kicking: The Fabulous Palm Springs Follies, Lou Grant, American Dream, Psych, ",6.6
Rod Daniel,"Teen Wolf, WKRP in Cincinnati, Magnum, P.I., K-9, ",5.45
Richard Danus,"Blue Thunder, Star Trek: The Next Generation, No Place to Hide, Star Trek: Deep Space Nine, ",5.6
Eric Darnell,"Antz, Madagascar: Escape 2 Africa, Madagascar, ",6.5
Jules Dassin,"Phaedra, The Law, Never on Sunday, Rififi, ",8.2
Delmer Daves,"Dark Passage, A Summer Place, An Affair to Remember, The Red House, ",6.5
Boaz Davidson,"16 Blocks, Lemon Popsicle, ",4.55
Martin Davidson,"A History of Britain, Secrets of the Deep, ",6.175
Desmond Davis,"BBC Sunday-Night Theatre, Lilli Palmer Theatre, Happy and Glorious, ITV Television Playhouse, ",6.9
Peter Davis,"The Slayers, Ninja 8: Warriors of Fire, Ninja: American Warrior, Bye Bye Birdie, ",8.2
Tamra Davis,"Guncrazy, Billy Madison, Half Baked, Crossroads, ",6.433333333
Frank De Felitta,"Z.P.G., Tales of Tomorrow, Assignment: Underwater, The DuPont Show of the Week, ",5.2
Steve De Jarnatt,"Cherry 2000, The X-Files, Miracle Mile, Strange Brew, ",6.3
AndrÃ© De Toth,"The Five-Forty, Hidden Fear, The Gunfighter, House of Wax, ",6.9
William Dear,"Angels in the Outfield, The Rocketeer, Timerider: The Adventure of Lyle Swann, Harry and the Hendersons, ",5.966666667
Tiffanie DeBartolo,"Dream for an Insomniac, Four Rooms, ",6.1
Tom DeCerchio,"Boys Life 2, Celtic Pride, Amanda, ",6.6
Donna Deitch,"Heroes, NYPD Blue, Desert Hearts, Angel on My Shoulder, ",7
Fred Dekker,"The Monster Squad, RoboCop 3, Night of the Creeps, ",5.6
Jeffrey Delman,"Friday the 13th Part 2, Deadtime Stories, Random Shooting in L.A., ",4.7
GeneviÃ¨ve Robert,"Red the Half Breed, The Crowd Inside, Casual Sex?, Dave, ",5
Jacques Deray,"Borsalino, The Outside Man, Symphonie pour un massacre, He Died with His Eyes Open, ",7
Dominique Deruddere,"Hombres complicados, Wait Until Spring, Bandini, Everybody's Famous!, Crazy Love, ",6.9
Manmohan Desai,"Bluff Master, Naseeb, Kismat, Mard, ",7.1
Tom DeSimone,"Angel III: The Final Chapter, Reform School Girls, The Idol, Bi-Coastal, ",5.3
Howard Deutch,"Pretty in Pink, The Replacements, Some Kind of Wonderful, The Great Outdoors, ",6.75
Ernest R. Dickerson,"Juice, Malcolm X, Blind Faith, Do the Right Thing, ",6.366666667
William Dieterle,"Ludwig der Zweite, KÃ¶nig von Bayern, Faust, Portrait of Jennie, Love Letters, ",6.8
David Schmoeller,"Puppetmaster, Crawlspace, ",4.8
Mark Dindal,"Chicken Little, Cats Don't Dance, The Rocketeer, The Emperor's New Groove, ",7.2
Michael Dinner,"Chicago Hope, American Playhouse, The Wonder Years, ",4.5
Mark A.Z. DippÃ©,"Spawn, The Hunt for Red October, Jurassic Park, The Abyss, ",5.3
Mark DiSalle,"Death Warrant, Kickboxer, Bloodsport, ",6.2
Edward Dmytryk,"Mirage, Give Us This Day, The Caine Mutiny, Crossfire, ",6.85
Tom Donaghy,"Story of a Bad Boy, ",6.6
Clive Donner,"Rogue Male, Danger Man, The Guest, Nothing But the Best, ",5.5
Mary Agnes Donoghue,"Deceived, Paradise, White Oleander, ",6.7
Martin Donovan,"Insomnia, Weeds, ",7
Stan Dragoti,"The Man with One Red Shoe, Mr. Mom, Dirty Little Billy, She's Out of Control, ",5.9
Jim Drake,"There's Always Vanilla, The Winners, ",5
David Drury,"Ashes to Ashes, The Unknown Soldier, Defense of the Realm, Prime Suspect 3, ",6.5
Frederik Du Chau,"Underdog, Racing Stripes, ",6.3
Dennis Dugan,"You Don't Mess with the Zohan, Happy Gilmore, Big Daddy, Richie Brockelman, Private Eye, ",7.033333333
Christian Duguay,"MADtv, Rob & Big, ",6.4
Ivo DvorÃ¡k,"Metamorphosis, ",6.6
Allan Dwan,"A Perfect Crime, Panthea, Bound in Morocco, A Broken Doll, ",7.1
Thom Eberhardt,"Without a Clue, Ratz, Honey, I Blew Up the Kid, Night of the Comet, ",6.2
Lang Elliott,"Cage, The Farmer, The Private Eyes, ",5.1
David R. Ellis,"The Matrix Reloaded, Cellular, Waterworld, Deep Blue Sea, ",5.9
Cy Endfield,"Hell Drivers, Jet Storm, Zulu, Sands of the Kalahari, ",7.7
FÃ©lix EnrÃ­quez AlcalÃ¡,"ER, Third Watch, Battlestar Galactica, ",5.1
John Erman,"Roots, The Blackwater Lightship, Stoney Burke, The Outer Limits, ",6.2
David Mickey Evans,"The Sandlot, Ed, Radio Flyer, ",7.266666667
Peter Faiman,"Dutch, Crocodile Dundee, FernGully: The Last Rainforest, Human Edge, ",6.55
Ferdinand Fairfax,"Winston Churchill: The Wilderness Years, Jeeves and Wooster, Nate and Hayes, Egypt, ",6.2
James Fargo,"The Enforcer, The Outlaw Josey Wales, Jaws, High Plains Drifter, ",6.36
Bobby Farrelly,"Me, Myself & Irene, Shallow Hal, Osmosis Jones, There's Something About Mary, ",7.22
Peter Farrelly,"Dumb and Dumber, There's Something About Mary, ",7.22
John Farrow,"Making Love, Dark Shadows, The Lake, ",6.8
Norman Ferguson,"Dumbo, Peter Pan, Pinocchio, Snow White and the Seven Dwarfs, ",7.58
Tom Holland,,6.725
Ken Finkleman,"Foolish Heart, The Newsroom, Airplane II: The Sequel, ",6.2
Sam Firstenberg,"One More Chance, Cyborg Cop II, American Ninja, Cyborg Cop, ",6.1
Bill Fishman,"Car 54, Where Are You?, My Dinner with Jimi, Posse, Tapeheads, ",4.1
Jack Fisk,"The Tree of Life, There Will Be Blood, ",5.8
George Fitzmaurice,"The Bad One, The Night of Love, The Locked Door, The Devil to Pay!, ",6.6
Paul Flaherty,"Neighbours, Ty the Tasmanian Tiger, Prisoner, BMX Bandits, ",5.5
Richard Fleischer,"The Vikings, 20,000 Leagues Under the Sea, Soylent Green, Red Sonja, ",6.235714286
Andrew Fleming,"The Craft, ",6
Victor Fleming,"Test Pilot, The Wizard of Oz, Gone with the Wind, A Guy Named Joe, ",7.7
Rodman Flender,"The Office, The Unborn, ",4.6
Isaac Florentine,"Undisputed 2: Last Man Standing, ",4.2
John Flynn,,6.3
Marcello Fondato,"Watch Out, We're Mad, NinÃ¬ TirabusciÃ², la donna che inventÃ² la mossa, The Protagonists, Everybody Go Home!, ",7.5
Robert Stevenson,"Dust Devil, ",7.333333333
Bill Forsyth,"Nightstick, ",7.2
John Fortenberry,"Arrested Development, A Night at the Roxbury, ",5.3
Lewis R. Foster,"Captain China, Tropic Zone, Mr. Smith Goes to Washington, Crosswinds, ",6
Gene Fowler Jr.,"Rawhide, It's a Mad Mad Mad Mad World, Hang 'Em High, The Waltons, ",5.1
Bryan Foy,"Ponce de Leon, I Was a Communist for the F.B.I., Queen of the Night Clubs, William Tell, ",5.7
David Frankel,"The Devil Wears Prada, Doctor Doctor, Band of Brothers, ",5.3
Sidney Franklin,"The Kid from Spain, De Nueva York a Huipanguillo, TV Reader's Digest, ",6.8
James Frawley,"The Big Bus, Ally McBeal, The Muppet Movie, The Monkees, ",5.2
Herb Freed,"Graduation Day, Dead Punkz, Paradise Lost, Haunts, ",4.7
Jerrold Freedman,"Kojak, The Bold Ones: The Protectors, The Psychiatrist, Native Son, ",5.8
Joan Freeman,"Streetwalkin', Satisfaction, Toilette, Uncaged, ",4.9
Bart Freundlich,"The Myth of Fingerprints, Trust the Man, ",6
Ed Friedman,"The Superman/Aquaman Hour of Adventure, He-Man and She-Ra: The Secret of the Sword, Mighty Mouse in the Great Space Chase, He-Man and the Masters of the Universe, ",7.2
Kinji Fukasaku,"Crest of Betrayal, Battle Royale, Day of Resurrection, Fall Guy, ",7.5
Antoine Fuqua,"Training Day, The Equalizer, ",6.2
Mike Gabriel,"Oliver & Company, The Rescuers Down Under, Lorenzo, Pocahontas, ",6.75
George Gallo,"Midnight Run, 29th Street, Bad Boys, ",6
Mark Anthony Galluzzo,"R.S.V.P., Trash, The Confession, ",5.6
Tay Garnett,"Bataan, China Seas, The Delta Factor, The Cross of Lorraine, ",7.4
Mick Garris,"Critters 2, Hocus Pocus, Amazing Stories, Sleepwalkers, ",5.4
Leon Gast,"Independent Lens, When We Were Kings, ",8
Haile Gerima,"Harvest: 3,000 Years, Ashes and Embers, Sankofa, ",6.9
Clyde Geronimi,"Alice in Wonderland, Sleeping Beauty, Peter Pan, Cinderella, ",7.29
Alan Gibson,"Shamwari, Tuxedo Warrior, Grange Hill, ",5.6
Lewis Gilbert,"The Spy Who Loved Me, Educating Rita, Moonraker, Alfie, ",6.8
Stuart Gillard,"The Outer Limits, All Souls, Teenage Mutant Ninja Turtles III, Avonlea, ",4.8
Jim Gillespie,"Bachelor Party, Sweet Sixteen, Hollywood Vice Squad, Lionheart, ",5.7
FranÃ§ois Girard,"Yo-Yo Ma Inspired by Bach, Thirty Two Short Films About Glenn Gould, The Red Violin, ",7.6
Jan Gissberg,"Peter-No-Tail, Kattresan, Charlie Strap and Froggy Ball, ",7
Lesli Linka Glatter,"To Live and Die in L.A., ",6.8
Francis Glebas,"Aladdin, The Lion King, Hercules, Pocahontas, ",7.2
John Glen,"ITV Television Playhouse, Top Secret, The Quatermass Experiment, ",6.625
Gary Goddard,"Masters of the Universe, Captain Power and the Soldiers of the Future, T2 3-D: Battle Across Time, ",5.4
Menahem Golan,"Cobra, Over the Top, The Delta Force, The Apple, ",5.733333333
Daniel Goldberg,"La edad del sol, El ratÃ³n PÃ©rez, Monzon Case: Second Trial, ",5.5
Eric Goldberg,"Taking on the Kennedys, ",6.985714286
Michael Goldenberg,"Harry Potter and the Order of the Phoenix, Contact, Peter Pan, ",6.1
Gary Goldman,"The Package, Die Hard, Predator, Die Hard 2, ",6.384615385
Allan A. Goldstein,"The Outside Chance of Maximilian Glick, Nature Unleashed: Fire, When Justice Fails, Death Wish V: The Face of Death, ",4.9
James Goldstone,"When Time Ran Out..., Kent State, Iron Horse, The Case of the Dangerous Robin, ",4.5
Leslie Goodwins,"Dragnet, Men Against the Sky, The Mummy's Curse, Gold Fever, ",6.3
Keith Gordon,"Mother Night, A Midnight Clear, Waking the Dead, ",6.7
Steve Gordon,"Pearl Jam: Live at the Showbox, Pearl Jam: Live at the Garden, Pearl Jam: Touring Band 2000, ",6.9
Michael Gornick,"Day of the Dead, Dawn of the Dead, Monsters, Creepshow, ",6.1
Raja Gosnell,"Scooby-Doo, Scooby-Doo 2: Monsters Unleashed, Never Been Kissed, Big Momma's House, ",4.4
Bob Gosse,"Laws of Gravity, Hand Gun, Niagara, Niagara, Julie Johnson, ",7.1
Michael Gottlieb,"A Kid in King Arthur's Court, Mr. Nanny, Mannequin, ",5.9
Edmund Goulding,"That Certain Woman, White Banners, Reaching for the Moon, Grand Hotel, ",7.4
William A. Graham,"CBS Playhouse, Together Brothers, Return to the Blue Lagoon, Play of the Week, ",5.2
Vladimir Grammatikov,"Zvezda i smert Khoakina Murety, Sestrichki Liberti, Mio in the Land of Faraway, ",6.4
Brian Grant,,5.6
F. Gary Gray,"The Italian Job, Set It Off, The Negotiator, Friday, ",7.1
Janet Greek,"Crusade, The Burning Zone, Babylon 5, Spellbinder, ",5.8
Guy Green,"Great Expectations, Blanche Fury, The Angry Silence, A Patch of Blue, ",7.133333333
Richard Greenberg,"Desert Saints, ",6.1
David Greene,"Star Trek, Hollow Man, Armageddon, ",6.2
Robert Greenwald,"Breaking Up, Sweet Hearts Dance, Xanadu, A Woman of Independent Means, ",5.266666667
David Greenwalt,"Profit, ",5.6
Leslie Greif,"Walker, Texas Ranger, ",5.1
Tom Gries,"The Rat Patrol, Helter Skelter, Will Penny, East Side/West Side, ",6.2
Mark Griffiths,"Ravenous, Saving Grace, The Sea Change, Smashie and Nicey, the End of an Era, ",5.5
Ulu Grosbard,"Falling in Love, Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?, Georgia, True Confessions, ",6.466666667
Charles Grosvenor,"The Land Before Time VII: The Stone of Cold Fire, The Land Before Time VIII: The Big Freeze, The Land Before Time X: The Great Longneck Migration, The Land Before Time IX: Journey to Big Water, ",6.5
John Guillermin,"King Kong, Death on the Nile, Paper Gallows, The Towering Inferno, ",5.566666667
Stephen Gyllenhaal,"A Dangerous Woman, Paris Trout, CBS Afternoon Playhouse, Homegrown, ",6.1
Manuel GÃ³mez Pereira,"All Men Are the Same, Between Your Legs, Love Can Seriously Damage Your Health, Mouth to Mouth, ",5
Randa Haines,"Children of a Lesser God, Antwone Fisher, The Ron Clark Story, Something About Amelia, ",6.58
William Hale,"The Invaders, The Time Tunnel, Night Gallery, The Streets of San Francisco, ",5.6
Peter Hall,"The Wog Boy, Curtin, ",5.2
Guy Hamilton,"Dragnet, ",6.646153846
David Hand,"Bambi, Wales, Snow White and the Seven Dwarfs, The Cat's Nine Lives, ",7.654545455
Jim Handley,"Never Been Kissed, Stir of Echoes, ",7.8
Thomas Haneke,"My Generation, American Dream, He Makes Me Feel Like Dancin', Mother Teresa, ",7.9
Robert Harmon,"George Lucas in Love, ",7.3
John Harrison,,6.3
Lee Harry,"Street Soldiers, Silent Night, Deadly Night Part 2, Street Fighter, ",3.6
Patrick Hasburgh,"SeaQuest 2032, Hardcastle and McCormick, ",6
Koji Hashimoto,"Latitude Zero, Bye Bye Jupiter, Godzilla 1985, ",6.2
Henry Hathaway,"How the West Was Won, The Sons of Katie Elder, The Trail of the Lonesome Pine, True Grit, ",6.642857143
Annette Haywood-Carter,"Foxfire, SeaQuest 2032, The Foot Shooting Party, ",6.2
Rob Hedden,"Friday the 13th Part VIII: Jason Takes Manhattan, The Condemned, Boxboarders!, Clockstoppers, ",4.6
T. Hee,"The Parent Trap, Variety Girl, The Reluctant Dragon, Pinocchio, ",7.4
Graham Heid,"Fantasia, Pinocchio, Wynken, Blynken & Nod, Bambi, ",7.3
Frank Henenlotter,"Frankenhooker, Basket Case, Bad Biology, ",6.1
Kim Henkel,"The Texas Chain Saw Massacre, Texas Chainsaw Massacre: The Next Generation, The Texas Chainsaw Massacre, ",3.3
