primaryName,knownForTitles,averageRating
Hector Elizondo,"The Princess Diaries 2: Royal Engagement, The Princess Diaries, Pretty Woman, Runaway Bride, ",6.14
Denholm Elliott,"Trading Places, Indiana Jones and the Last Crusade, Raiders of the Lost Ark, A Room with a View, ",7.566666667
Noah Emmerich,"The Truman Show, Little Children, ",8.1
Adam Sandler,"The Waterboy, Big Daddy, The Wedding Singer, Little Nicky, ",6.516666667
Jeff Fahey,"Lost, Wyatt Earp, Alita: Battle Angel, ",5.45
Dennis Farina,"Snatch, Get Shorty, Manhunter, Midnight Run, ",4.3
Mia Farrow,"The Purple Rose of Cairo, Crimes and Misdemeanors, Hannah and Her Sisters, Rosemary's Baby, ",7.325
Marty Feldman,,8
JosÃ© Ferrer,"Deportes y figuras del boxeo. Reportaje NÂº 1, ",7.7
Miguel Ferrer,"RoboCop, Hot Shots! Part Deux, Traffic, Crossing Jordan, ",6.3375
Chelsea Field,"Masters of the Universe, Commando, The Last Boy Scout, Harley Davidson and the Marlboro Man, ",6.3
Harvey Fierstein,"Mrs. Doubtfire, Mulan, Torch Song Trilogy, Independence Day, ",7.35
Albert Finney,"Murder on the Orient Express, Big Fish, Erin Brockovich, Saturday Night and Sunday Morning, ",6.85
Louise Fletcher,"Flowers in the Attic, Cruel Intentions, Star Trek: Deep Space Nine, One Flew Over the Cuckoo's Nest, ",5.12
Lara Flynn Boyle,"Men in Black II, Twin Peaks, Happiness, The Practice, ",6.285714286
Errol Flynn,"Adventures of Don Juan, Captain Blood, That Forsyte Woman, The Adventures of Robin Hood, ",7.5
Nina Foch,"Spartacus, An American in Paris, The Ten Commandments, Executive Suite, ",6.6
Peter Fonda,"Night at the Museum, The Believer, Precious, ",5.666666667
Glenn Ford,"The Courtship of Eddie's Father, Pocketful of Miracles, Superman, Gilda, ",7.2
Claire Forlani,"The Medallion, In the Name of the King: A Dungeon Siege Tale, Mystery Men, Meet Joe Black, ",7.066666667
Robert Forster,"Jackie Brown, Mulholland Dr., ",6.328571429
John Forsythe,"Charlie's Angels: Full Throttle, The Trouble with Harry, Scrooged, Dynasty, ",7.36
William Forsythe,"The Devil's Rejects, Halloween, Raising Arizona, Dick Tracy, ",6.24
Meg Foster,"They Live, Masters of the Universe, ",6.028571429
Dennis Franz,"Dressed to Kill, Die Hard 2, NYPD Blue, City of Angels, ",7.166666667
Matt Frewer,"Hercules, Watchmen, Honey, I Shrunk the Kids, ",5.033333333
Eva Gabor,"The Rescuers, Green Acres, The Rescuers Down Under, The Aristocats, ",6.98
Peter Gallagher,"The Flying Scotsman, Unleashed, ",6.383333333
Vincent Gallo,"The Brown Bunny, Buffalo '66, Arizona Dream, ",7.5
Mason Gamble,"Rushmore, Dennis the Menace, Spy Hard, Gattaca, ",5.733333333
James Gandolfini,"The Mexican, The Sopranos, ",5.5
Greta Garbo,"Ninotchka, Camille, Queen Christina, Anna Christie, ",7.275
Ava Gardner,"The Night of the Iguana, On the Beach, Pandora and the Flying Dutchman, Mogambo, ",6.528571429
James Garner,,6.666666667
John Gavin,"Hardware, Vampire's Kiss, ",8.5
Ben Gazzara,"The Killing of a Chinese Bookie, The Big Lebowski, Anatomy of a Murder, Road House, ",5.9
Jason Gedrick,"Dexter, Backdraft, ",5.7
Sarah Michelle Gellar,"Scooby-Doo, Cruel Intentions, I Know What You Did Last Summer, Buffy the Vampire Slayer, ",5.7
Susan George,"Dirty Mary Crazy Larry, Straw Dogs, Mandingo, Enter the Ninja, ",7.5
Estelle Getty,"Stuart Little, Stop! Or My Mom Will Shoot, The Golden Girls, Mannequin, ",6.1
Cynthia Gibb,"Salvador, Fame, Gypsy, Death Warrant, ",5.7
Melissa Gilbert,,6.6
Annabeth Gish,"Nixon, Beautiful Girls, Mystic Pizza, ",5.466666667
Lillian Gish,"The Night of the Hunter, Way Down East, Duel in the Sun, The Whales of August, ",7.1
Jackie Gleason,,5.211111111
Scott Glenn,"Sucker Punch, The Hunt for Red October, The Silence of the Lambs, Backdraft, ",7.7
John Glover,"Scrooged, In the Mouth of Madness, Gremlins 2: The New Batch, Payback, ",6.355555556
Bobcat Goldthwait,"Scrooged, Shakes the Clown, ",4.5
Tony Goldwyn,"The Mechanic, The 6th Day, Ghost, The Last Samurai, ",6.55
Louis Gossett Jr.,"Jaws 3-D, Roots, An Officer and a Gentleman, Enemy Mine, ",5.1
Elliott Gould,"Ocean's Thirteen, MASH, American History X, Ocean's Eleven, ",6.642857143
Heather Graham,"The Swiss Family Robinson, The Thanksgiving Treasure, ",6.68
Kelsey Grammer,"Frasier, Cheers, ",7.5
Stewart Granger,"Slave Girls from Beyond Infinity, ",7.5
Richard E. Grant,"Hudson Hawk, Gosford Park, Withnail & I, ",6.3
Erin Gray,,5.9
Seth Green,"Robot Chicken, The Italian Job, Austin Powers in Goldmember, ",6.3
Graham Greene,"The Green Mile, Dances with Wolves, Skins, ",7.7
Lorne Greene,"Battlestar Galactica, The Silver Chalice, Bonanza, Earthquake, ",5.9
Joel Grey,"Remo Williams: The Adventure Begins, Cabaret, Dancer in the Dark, ",6.5
Richard Grieco,"La dame du jeu, ",5.8
Thomas Ian Griffith,"xXx, Vampires, Excessive Force, The Karate Kid Part III, ",5.25
Charles Grodin,"The Heartbreak Kid, Dave, King Kong, Midnight Run, ",5.963636364
Christopher Guest,"This Is Spinal Tap, A Mighty Wind, Waiting for Guffman, Best in Show, ",7.9
Carla Gugino,"American Gangster, Watchmen, ",5.9
Fred Gwynne,"My Cousin Vinny, Car 54, Where Are You?, The Munsters, Pet Sematary, ",6.6
Lukas Haas,"Brick, Mars Attacks!, Witness, ",6.58
Anthony Michael Hall,"The Dark Knight, ",6.75
Kevin Peter Hall,"Harry and the Hendersons, Predator 2, Predator, Without Warning, ",7.5
Philip Baker Hall,"Rush Hour, Magnolia, Hard Eight, Boogie Nights, ",7.2
George Hamilton,"Transporter 2, Cape Fear, ",6.1
John Hannah,"The Hurricane, Four Weddings and a Funeral, The Mummy: Tomb of the Dragon Emperor, The Mummy, ",7
Marcia Gay Harden,"The Mist, Pollock, Into the Wild, Mystic River, ",6.35
Jean Harlow,"Dinner at Eight, Bombshell, Suzy, Libeled Lady, ",7.4
Mark Harmon,"Chasing Liberty, NCIS, Summer School, Freaky Friday, ",6.433333333
Richard Harris,"Spice World, ",6.146666667
Rex Harrison,"Cleopatra, The Ghost and Mrs. Muir, Doctor Dolittle, My Fair Lady, ",7
Debbie Harry,"Tales from the Darkside: The Movie, Hairspray, Videodrome, My Life Without Me, ",6.5
Josh Hartnett,"Lucky Number Slevin, The Black Dahlia, 30 Days of Night, The Faculty, ",5.7
Nigel Hawthorne,"The Object of My Affection, Yes Minister, Demolition Man, The Madness of King George, ",6.55
Sterling Hayden,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, The Godfather, The Asphalt Jungle, The Killing, ",8.4
Robert Hays,"Sunset in El Dorado, Rough Riders of Cheyenne, ",6.95
John Heard,"Home Alone, Awakenings, The Guardian, Big, ",6.816666667
Tippi Hedren,"The Birds, Mulligans!, Marnie, Roar, ",7.2
Van Heflin,"3:10 to Yuma, Black Widow, Shane, The Three Musketeers, ",7.6
Katherine Heigl,"Grey's Anatomy, Knocked Up, ",5.5
Marg Helgenberger,"CSI: Crime Scene Investigation, Species, Species II, Erin Brockovich, ",4.575
Katherine Helmond,"Who's the Boss?, Brazil, Soap, Overboard, ",6.933333333
Florence Henderson,"The Brady Bunch, The Brady Bunch Variety Hour, The Brady Bunch Movie, Shakes the Clown, ",3.8
Carrie Henn,"Alien Evolution, Aliens, ",8.4
Gregg Henry,"Payback, Star Trek: Insurrection, Slither, ",7
Jim Henson,"Edge, Cumulus 9, The Making of 'Edge', ",7.2
Edward Herrmann,"Intolerable Cruelty, The Lost Boys, Annie, Overboard, ",7.028571429
Barbara Hershey,"11:14, Black Swan, The Last Temptation of Christ, ",7.24
Jennifer Love Hewitt,"The Tuxedo, I Still Know What You Did Last Summer, Heartbreakers, I Know What You Did Last Summer, ",5.7
Terence Hill,"My Name Is Nobody, Trinity Is Still My Name, They Call Me Trinity, Watch Out, We're Mad, ",7.4
Hulk Hogan,"Rocky III, No Holds Barred, Gremlins 2: The New Batch, Suburban Commando, ",4.4
Paul Hogan,"Bad Company, 25th Hour, American Psycho, Keeping the Faith, ",6
Hal Holbrook,"The Fog, All the President's Men, Into the Wild, Lincoln, ",6.808333333
Sterling Holloway,"The Jungle Book, The Aristocats, Alice in Wonderland, The Many Adventures of Winnie the Pooh, ",7.228571429
Bob Hoskins,"Who Framed Roger Rabbit, The Long Good Friday, Super Mario Bros., Mona Lisa, ",6.788888889
Whitney Houston,"Waiting to Exhale, The Bodyguard, The Preacher's Wife, ",5.933333333
C. Thomas Howell,"The Outsiders, The Amazing Spider-Man, E.T. the Extra-Terrestrial, The Hitcher, ",6.6625
Ernie Hudson,"Ghostbusters, The Crow, Ghostbusters II, ",6.033333333
Rock Hudson,"Come September, Lover Come Back, Giant, Pillow Talk, ",6.92
Finola Hughes,"General Hospital, Staying Alive, All My Children, ",4.95
Tom Hulce,"Parenthood, National Lampoon's Animal House, Amadeus, The Hunchback of Notre Dame, ",7.25
Bonnie Hunt,"Return to Me, Life with Bonnie, The Green Mile, Jumanji, ",6.94
Linda Hunt,"Pocahontas, The Year of Living Dangerously, Dune, Kindergarten Cop, ",6.4
Jeffrey Hunter,"The Searchers, King of Kings, The Longest Day, The Great Locomotive Chase, ",7
Kim Hunter,"Eating L.A., ",6.7
Olivia Hussey,"Death on the Nile, Romeo and Juliet, Black Christmas, Lost Horizon, ",7.6
Anjelica Huston,"The Life Aquatic with Steve Zissou, The Addams Family, Ever After: A Cinderella Story, The Witches, ",6.733333333
John Huston,"A Pleasure Doing Business, The Big Brass Ring, Fourplay, ",5.175
Jim Hutton,"The Green Berets, Major Dundee, Hellfighters, Where the Boys Are, ",6.25
Lauren Hutton,"Once Bitten, 54, American Gigolo, ",5.95
Ice-T,"Surviving the Game, New Jack City, Tank Girl, Law & Order: Special Victims Unit, ",5.975
Eric Idle,"The Meaning of Life, Monty Python and the Holy Grail, The Adventures of Baron Munchausen, Monty Python's Life of Brian, ",5.52
Amy Irving,"Crossing Delancey, Traffic, Carrie, ",6.933333333
Janet Jackson,"Love Your Mama, ",6
Michael Jackson,"The Search for Solutions, ",5.4
IrÃ¨ne Jacob,"The Double Life of VÃ©ronique, Au Revoir les Enfants, Three Colors: Red, U.S. Marshals, ",7.8
Derek Jacobi,"Underworld: Evolution, Gosford Park, Gladiator, The Secret of NIMH, ",7.6
Richard Jaeckel,"Pat Garrett & Billy the Kid, Starman, 3:10 to Yuma, The Dirty Dozen, ",5.718181818
Brion James,"Brittle Glory, Silent Lies, ",5.6
Michelle Johnson,"Texas Boogie Woogie, ",5.8
Angelina Jolie,"Changeling, Girl, Interrupted, ",6
Terry Jones,,6.3
Madeline Kahn,"Young Frankenstein, Blazing Saddles, Paper Moon, Clue, ",6.575
Carol Kane,"The Princess Bride, Annie Hall, Addams Family Values, The Pacifier, ",6.785714286
TchÃ©ky Karyo,"The Core, Kiss of the Dragon, The Patriot, La Femme Nikita, ",6.9
Julie Kavner,"Click, The Simpsons, Hannah and Her Sisters, The Simpsons Movie, ",7.8
Catherine Keener,"Capote, The 40-Year-Old Virgin, Being John Malkovich, ",7.6
Brian Keith,"Moonraker, ",6.3
David Keith,"The 7th Dawn, ",6.4
Sally Kellerman,"MASH, Ready to Wear, Back to School, ",6.725
DeForest Kelley,"Star Trek, Star Trek II: The Wrath of Khan, Star Trek V: The Final Frontier, Star Trek VI: The Undiscovered Country, ",7.00952381
George Kennedy,"Charade, Airport, The Naked Gun 2Â½: The Smell of Fear, Cool Hand Luke, ",5.754166667
Richard Kiel,"Pale Rider, Tangled, Moonraker, Happy Gilmore, ",4.45
Ben Kingsley,"Schindler's List, Sexy Beast, Gandhi, ",7.171428571
Greg Kinnear,"You've Got Mail, Little Miss Sunshine, As Good as It Gets, Sabrina, ",7.7
Wayne Knight,"Basic Instinct, Jurassic Park, Seinfeld, Dirty Dancing, ",6.4
Charlie Korsmo,"Hook, What About Bob?, Dick Tracy, Can't Hardly Wait, ",6.55
Yaphet Kotto,"The Running Man, Homicide: Life on the Street, Alien, Live and Let Die, ",7.033333333
Kris Kristofferson,"Payback, Blade II, Blade, The Jacket, ",6.310526316
Lisa Kudrow,"Romy and Michele's High School Reunion, Friends, The Comeback, The Opposite of Sex, ",6.433333333
Swoosie Kurtz,"Liar Liar, Cruel Intentions, Bubble Boy, Reality Bites, ",6.833333333
Anthony LaPaglia,"Empire Records, Lantana, Without a Trace, So I Married an Axe Murderer, ",6.4
Christine Lahti,"Running on Empty, Jack & Bobby, Chicago Hope, Swing Shift, ",6.8
Ricki Lake,"Serial Mom, Hairspray, Hairspray, Cry-Baby, ",6.466666667
Hedy Lamarr,"The Strange Woman, Dishonored Lady, Samson and Delilah, Come Live with Me, ",6.9
Martin Landau,"North by Northwest, Ed Wood, Crimes and Misdemeanors, Tucker: The Man and His Dream, ",5.677777778
Michael Landon,"Little House on the Prairie, Highway to Heaven, Little House: The Last Farewell, Bonanza, ",5.1
Nathan Lane,"The Birdcage, The Lion King, The Lion King 3: Hakuna Matata, The Producers, ",6.66
Jessica Lange,"Tootsie, Blue Sky, King Kong, Frances, ",6.888888889
Frank Langella,"Masters of the Universe, Frost/Nixon, The Box, ",5.616666667
Angela Lansbury,"Beauty and the Beast, Anastasia, The Manchurian Candidate, Bedknobs and Broomsticks, ",6.983333333
Queen Latifah,"Chicago, Hairspray, Bringing Down the House, Taxi, ",6.675
Charles Laughton,"Spartacus, Witness for the Prosecution, The Private Life of Henry VIII., Mutiny on the Bounty, ",7.82
Piper Laurie,"Carrie, The Faculty, Twin Peaks, The Hustler, ",7.2
Martin Lawrence,"Grafters, Murder in Mind, Queer as Folk, ",6.325
Matt LeBlanc,"Friends, Joey, Lost in Space, ",5.2
Kelly LeBrock,"Weird Science, Hard to Kill, The Woman in Red, Wrongfully Accused, ",6.066666667
James Le Gros,"Drugstore Cowboy, The Last Winter, ",6.9
Cloris Leachman,"Young Frankenstein, The Croods, The Last Picture Show, Spanglish, ",6.125
Denis Leary,"Rescue Me, The Amazing Spider-Man, The Thomas Crown Affair, Ice Age, ",6.75
Jason Scott Lee,"Dragon: The Bruce Lee Story, Soldier, Lilo & Stitch, Back to the Future Part II, ",6.466666667
Janet Leigh,"The Manchurian Candidate, Psycho, Bye Bye Birdie, The Fog, ",7.9
Jared Leto,"The Thin Red Line, Requiem for a Dream, Dallas Buyers Club, ",6.8
Charlotte Lewis,"The Golden Child, Storyville, Men of War, Broken Badges, ",6
Jerry Lewis,"The Nutty Professor, The Ladies Man, Arizona Dream, The King of Comedy, ",6.25
Jet Li,"Unleashed, The Warlords, The One, Fearless, ",7
Laura Linney,"You Can Count on Me, The Savages, Kinsey, ",7.5
Tommy 'Tiny' Lister,"The Fifth Element, Jackie Brown, The Dark Knight, Friday, ",5.85
John Lithgow,"Cliffhanger, 3rd Rock from the Sun, The Adventures of Buckaroo Banzai Across the 8th Dimension, ",6.453333333
Cleavon Little,"Blazing Saddles, Vanishing Point, CBS Summer Playhouse, Once Bitten, ",7.314285714
Robyn Lively,"Teen Witch, The Karate Kid Part III, Wildcats, ",5.65
Shelley Long,"Irreconcilable Differences, Cheers, The Money Pit, Hello Again, ",6
Courtney Love,"The People vs. Larry Flynt, Man on the Moon, 200 Cigarettes, Sid and Nancy, ",7.3
Jon Lovitz,"Happiness, A League of Their Own, Rat Race, Loaded Weapon 1, ",5.8
Myrna Loy,"Libeled Lady, Mr. Blandings Builds His Dream House, The Best Years of Our Lives, The Thin Man, ",8
Kelly Lynch,"The Private Public, ",6.325
Melanie Lynskey,"Heavenly Creatures, ",7.3
Kyle MacLachlan,"Twin Peaks, Blue Velvet, Dune, ",6.825
Peter MacNicol,"Ally McBeal, Sophie's Choice, ",5.266666667
Ralph Macchio,"The Karate Kid Part III, My Cousin Vinny, The Outsiders, The Karate Kid, ",6.6625
Patrick Macnee,"Battlestar Galactica, A View to a Kill, The Avengers, The Howling, ",5.2
Amy Madigan,"Uncle Buck, Gone Baby Gone, Streets of Fire, Field of Dreams, ",6.55
Tobey Maguire,"Pleasantville, Brothers, Spider-Man, Wonder Boys, ",6.4
John Mahoney,"Treasure Planet, Talk to Me, ",7.12
Tina Majorino,"Corrina, Corrina, Napoleon Dynamite, Waterworld, ",6.5
Karl Malden,"Baby Doll, On the Waterfront, Patton, A Streetcar Named Desire, ",7.326666667
Joe Mantegna,"Searching for Bobby Fischer, Airheads, The Godfather: Part III, Baby's Day Out, ",6.58
Jane March,"Clash of the Titans, Color of Night, Dark Prince: The True Story of Dracula, The Lover, ",5.2
Cheech Marin,"Up in Smoke, From Dusk Till Dawn, Born in East L.A., Tin Cup, ",6.358333333
Dean Martin,"The Cannonball Run, Murderers' Row, The Silencers, Rio Bravo, ",6.685714286
Strother Martin,"The Wild Bunch, Cool Hand Luke, Slap Shot, True Grit, ",7.35
Lee Marvin,"Paint Your Wagon, The Man Who Shot Liberty Valance, The Professionals, The Dirty Dozen, ",7.055555556
Mary Elizabeth Mastrantonio,"The Abyss, Robin Hood: Prince of Thieves, The Perfect Storm, Limbo, ",6.7375
Tim Matheson,"National Lampoon's Animal House, Van Wilder, The West Wing, ",6.1
Victor Mature,"Samson and Delilah, Seven Days' Leave, Demetrius and the Gladiators, One Million B.C., ",6.62
Joseph Mazzello,"The Cure, Jurassic Park, ",5.566666667
Dylan McDermott,"In the Line of Fire, The Practice, ",6.85
Christopher McDonald,"Fallen Stars, Gentleman, Not As It Seems, 8th Period, ",5.844444444
Mary McDonnell,"Battlestar Galactica, Donnie Darko, Dances with Wolves, ",7.38
Roddy McDowall,"Planet of the Apes, Conquest of the Planet of the Apes, Overboard, Fright Night, ",6.192307692
Natascha McElhone,"Big Nothing, Ronin, Solaris, The Truman Show, ",6.4
Paul McGann,"Queen of the Damned, Withnail & I, The Three Musketeers, AlienÂ³, ",6.466666667
John C. McGinley,"Scrubs, Platoon, Point Break, Se7en, ",4.72
Patrick McGoohan,"Braveheart, Escape from Alcatraz, The Prisoner, ",7.4
Elizabeth McGovern,"Once Upon a Time in America, The Handmaid's Tale, Ordinary People, ",6.233333333
William McNamara,"Natural Enemy, Radio Inside, Stealing Home, Copycat, ",5.1
Kristy McNichol,"Little Darlings, Two Moon Junction, The Pirate Movie, Family, ",4.8
Michelle Meyrink,"Revenge of the Nerds, The Outsiders, Real Genius, Joy of Sex, ",7
Dale Midkiff,"Love Comes Softly, The Crow: Salvation, Time Trax, Pet Sematary, ",6.24
ToshirÃ´ Mifune,"Sanjuro, Yojimbo, Throne of Blood, Seven Samurai, ",6.975
Ray Milland,"The Big Clock, The Lost Weekend, Dial M for Murder, Love Story, ",7.35
Jonny Lee Miller,"Trainspotting, Dracula 2000, Mindhunters, ",6.8
Jay Mohr,"Go, Street Kings, Small Soldiers, Jerry Maguire, ",5.875
Ricardo Montalban,"Star Trek II: The Wrath of Khan, Spy Kids 3-D: Game Over, Escape from the Planet of the Apes, The Naked Gun: From the Files of Police Squad!, ",7.15
Dudley Moore,"The Hound of the Baskervilles, 10, Bedazzled, Arthur, ",5.177777778
Mary Tyler Moore,"The Dick Van Dyke Show, The Mary Tyler Moore Show, Flirting with Disaster, Ordinary People, ",6.7
Agnes Moorehead,"Hush...Hush, Sweet Charlotte, Bewitched, Citizen Kane, The Magnificent Ambersons, ",8.125
Rick Moranis,"Little Shop of Horrors, Ghostbusters, Spaceballs, Parenthood, ",5.763157895
Rita Moreno,"The King and I, Where on Earth Is Carmen Sandiego?, West Side Story, Oz, ",7.4
Cathy Moriarty,"Analyze That, Soapdish, Raging Bull, ",6.916666667
Pat Morita,"The Karate Kid, The Karate Kid Part III, Mulan, The Karate Kid Part II, ",5.428571429
Rob Morrow,"Numb3rs, Northern Exposure, Quiz Show, Maze, ",5.5
David Morse,"Across the Tracks, Love Potion, She'll Be Wearing Pink Pyjamas, Murder Elite, ",7.38
Viggo Mortensen,"The Road, Eastern Promises, The Lord of the Rings: The Return of the King, ",6.109090909
Ornella Muti,"First Love, Oscar, The Most Beautiful Wife, Flash Gordon, ",6.5
Kathy Najimy,"Sister Act 2: Back in the Habit, Sister Act, Rat Race, Hocus Pocus, ",6.266666667
Bebe Neuwirth,"How to Lose a Guy in 10 Days, Cheers, Jumanji, Summer of Sam, ",5.95
Connie Nielsen,"One Hour Photo, Gladiator, Wonder Woman, Basic, ",6
Chuck Norris,"Walker, Texas Ranger, The Way of the Dragon, Braddock: Missing in Action III, ",5.522222222
Edward Norton,"The Single Track, ",7.833333333
Kim Novak,"Vertigo, Picnic, Kiss Me, Stupid, Bell Book and Candle, ",8.3
Catherine O'Hara,"For Your Consideration, A Mighty Wind, Best in Show, ",7.15
Michael O'Keefe,"Michael Clayton, Caddyshack, Keith, The Pledge, ",5.066666667
Tatum O'Neal,"The Bad News Bears, Nickelodeon, Paper Moon, ",7.3
Heather O'Rourke,"Poltergeist, Happy Days, Poltergeist III, Poltergeist II: The Other Side, ",5.62
Maureen O'Sullivan,"Tarzan and His Mate, Tarzan's New York Adventure, Tarzan the Ape Man, Hannah and Her Sisters, ",7.5
Annette O'Toole,"Superman III, Smallville, 48 Hrs., Temptation, ",6.9
Edward James Olmos,"Stand and Deliver, Selena, Blade Runner, Battlestar Galactica, ",7.214285714
Jerry Orbach,"Beauty and the Beast, Dirty Dancing, Crimes and Misdemeanors, Law & Order, ",6.325
Joanna Pacula,"Tombstone, The Kiss, Virus, Gorky Park, ",5.5
Jack Palance,"City Slickers, Shane, Contempt, Tango & Cash, ",6.4625
Michael Palin,"The Meaning of Life, Time Bandits, Monty Python and the Holy Grail, A Fish Called Wanda, ",7.333333333
Chazz Palminteri,"A Bronx Tale, The Usual Suspects, Bullets Over Broadway, ",6.671428571
Joe Pantoliano,"Bad Boys, Memento, Bad Boys II, The Matrix, ",6.2
Anne Parillaud,"Innocent Blood, The Man in the Iron Mask, Map of the Human Heart, La Femme Nikita, ",7.3
Michael ParÃ©,"Streets of Fire, The Virgin Suicides, ",6.3
Mandy Patinkin,"Dick Tracy, The Princess Bride, ",7.033333333
Robert Patrick,"High Tide, Compass Rose, ",7.6625
Will Patton,"The Picture of Dorian Gray, ",6.35
David Paymer,"Payback, Get Shorty, State and Main, The American President, ",6.7
Guy Pearce,"I Wake Up Screaming, Swamp Water, Laura, Crash Dive, ",8.2
Nia Peeples,"North Shore, Fame, Walker, Texas Ranger, ",6.5
Chris Penn,"Short Cuts, Reservoir Dogs, True Romance, Footloose, ",6.725
Sydney Penny,"The Thorn Birds, All My Children, Santa Barbara, Pale Rider, ",7.3
Rosie Perez,"White Men Can't Jump, Fearless, The Road to El Dorado, Untamed Heart, ",6.8
Elizabeth Perkins,"Big, Weeds, ",6.442857143
Matthew Perry,"Women Are Not Little Men, ",6
Bernadette Peters,"Annie, Pennies from Heaven, The Jerk, Anastasia, ",6.966666667
Lori Petty,"Tank Girl, Free Willy, A League of Their Own, Point Break, ",6.142857143
Elizabeth PeÃ±a,"La Bamba, The Incredibles, Lone Star, Rush Hour, ",7.08
Mekhi Phifer,"Dawn of the Dead, Honey, ER, 8 Mile, ",6.2
Lou Diamond Phillips,"Courage Under Fire, Young Guns, The Big Hit, La Bamba, ",6.516666667
Joaquin Phoenix,"Gladiator, Walk the Line, ",6.266666667
Slim Pickens,"The Getaway, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, Blazing Saddles, 1941, ",7.7
Danny Pintauro,"As the World Turns, Cujo, Who's the Boss?, ",6.1
Maria Pitillo,"Godzilla, Natural Born Killers, True Romance, Chaplin, ",5.4
Oliver Platt,"Bicentennial Man, The Three Musketeers, Lake Placid, ",6.314285714
Amanda Plummer,"The Fisher King, Hercules, Pulp Fiction, ",6.4
Christopher Plummer,"The Insider, A Beautiful Mind, ",6.877777778
Sidney Poitier,"Guess Who's Coming to Dinner, In the Heat of the Night, Lilies of the Field, The Defiant Ones, ",7.133333333
Sydney Pollack,"Out of Africa, Michael Clayton, Tootsie, Eyes Wide Shut, ",7.4
Kevin Pollak,"End of Days, A Few Good Men, The Usual Suspects, The Whole Ten Yards, ",5.85
Tracy Pollan,"1st to Die, Law & Order: Special Victims Unit, A Stranger Among Us, Medium, ",5.7
Teri Polo,"Meet the Parents, Little Fockers, Meet the Fockers, The Arrival, ",6.05
Annie Potts,"Ghostbusters, Ghostbusters II, Pretty in Pink, Designing Women, ",6.02
CCH Pounder,"Avatar, The Shield, RoboCop 3, ",7.4
William Powell,"The Green Hornet, Death Race, The Butterfly Effect, ",7.35
Priscilla Presley,"The Naked Gun: From the Files of Police Squad!, Naked Gun 33 1/3: The Final Insult, The Naked Gun 2Â½: The Smell of Fear, The Adventures of Ford Fairlane, ",6.955555556
Vincent Price,"The Abominable Dr. Phibes, The Ten Commandments, Laura, The Great Mouse Detective, ",7.052631579
JÃ¼rgen Prochnow,"In the Mouth of Madness, Das Boot, The English Patient, Dune, ",7.183333333
Richard Pryor,"See No Evil, Hear No Evil, Silver Streak, Superman III, Bustin' Loose, ",6.428571429
Vincent Perez,"On Guard, Queen of the Damned, The Crow: City of Angels, Cyrano de Bergerac, ",4.7
Randy Quaid,"Kingpin, Days of Thunder, Independence Day, Brokeback Mountain, ",6.04
Aidan Quinn,"Trainspotting, Flex, On Edge, ",6.76
Claude Rains,"Notorious, The Adventures of Robin Hood, The Invisible Man, Casablanca, ",8.128571429
Charlotte Rampling,"Swimming Pool, ",6.43
Anne Ramsey,"The Goonies, Throw Momma from the Train, Deadly Friend, Scrooged, ",6.2
Michael Rapaport,"True Romance, The 6th Day, Deep Blue Sea, Beautiful Girls, ",6
Basil Rathbone,"Romeo and Juliet, The Adventures of Robin Hood, Captain Blood, Sherlock Holmes Faces Death, ",7.033333333
Stephen Rea,"The Crying Game, V for Vendetta, Interview with the Vampire: The Vampire Chronicles, ",7.2
Ronald Reagan,"Horror House on Highway Five, ",5.9
Lynn Redgrave,"Georgy Girl, Kinsey, Gods and Monsters, Shine, ",7.4
Donna Reed,,7.633333333
Oliver Reed,"The People vs. Larry Flynt, ",5.628571429
Christopher Reeve,"Superman II, Superman III, Superman IV: The Quest for Peace, Superman, ",6.614285714
Rob Reiner,"This Is Spinal Tap, All in the Family, A Few Good Men, The Wolf of Wall Street, ",7.9
Judge Reinhold,"Beverly Hills Cop, The Santa Clause, Beverly Hills Cop II, Fast Times at Ridgemont High, ",6.971428571
Paul Reiser,"Aliens, Beverly Hills Cop, Mad About You, ",8.4
James Remar,"Sex and the City: A Farewell, ",6.057142857
Lee Remick,"Anatomy of a Murder, The Omen, Days of Wine and Roses, The Wheeler Dealers, ",6.966666667
Debbie Reynolds,"Training Wheels, ",8.3
Kim Richards,"Black Snake Moan, Escape to Witch Mountain, Assault on Precinct 13, ",6.15
Miranda Richardson,"Spider, The Hours, Sleepy Hollow, The Crying Game, ",7.2
Natasha Richardson,"Asylum, The Parent Trap, Maid in Manhattan, ",6.4
Diana Rigg,"The Painted Veil, Game of Thrones, The Avengers, On Her Majesty's Secret Service, ",6.7
Jason Robards,"Magnolia, All the President's Men, Parenthood, Once Upon a Time in the West, ",7.225
Chris Rock,"Marine Crucible, Stock: Released, Descent, Forced Service, ",6.45
Ginger Rogers,"Monkey Business, Kitty Foyle, Tom, Dick and Harry, The Major and the Minor, ",7.344444444
Robert Romanus,"Days of Our Lives, Fast Times at Ridgemont High, Fame, ",7.2
Mickey Rooney,"Journey to the Center of the Earth, Hostage, Mercenary Fighters, White Ghost, ",6.95
Roseanne Barr,"Look Who's Talking Too, Freddy's Dead: The Final Nightmare, She-Devil, Roseanne, ",6.7
